report_0,frequency,count
Possible ectopic atrial bradycardia with PVC(s).,8.749617204247314e-06,7
Atrial fibrillation with rapid ventricular response with frequent multifocal PVCs or aberrant ventricular conduction,0.00013749398463817208,110
Sinus rhythm with frequent multifocal PVCs.,0.0001924915784934409,154
Possible atrial flutter with PVCs or aberrant ventricular conduction.,4.374808602123657e-05,35
Possible atrial flutter with uncontrolled ventricular response,8.49962814126882e-05,68
Probable atrial fibrillation with frequent multifocal PVCs or aberrant ventricular conduction.,3.874830476166668e-05,31
Sinus rhythm with frequent PVCs with 1st degree A-V block,0.00010499540645096777,84
Atrial flutter with uncontrolled ventricular response with 2:1 A-V block,0.00014874349247220433,119
Sinus tachycardia with frequent PACs with borderline 1st degree A-V block.,4.999781259569894e-06,4
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVC(s) with PAC(s).,1.749923440849463e-05,14
Sinus bradycardia with interpolated PVCs,4.24981407063441e-05,34
Sinus tachycardia with PVCs with PACs,0.00010874524239564519,87
Sinus tachycardia with multifocal PVCs with PACs.,2.249901566806452e-05,18
Fast sinus arrhythmia,5.3747648540376356e-05,43
Sinus bradycardia with PVCs with 1st degree A-V block,3.3748523502096784e-05,27
Possible ectopic atrial rhythm with bigeminal PVCs.,2.7498796927634415e-05,22
Possible ectopic atrial rhythm with PACs,0.00010624535176586024,85
Sinus bradycardia with PACs with borderline 1st degree A-V block,5.124775791059141e-05,41
Sinus bradycardia with interpolated PVCs with borderline 1st degree A-V block.,2.499890629784947e-06,2
Sinus tachycardia with irregular rate,0.0002637384614423119,211
PROBABLE ACCELERATED JUNCTIONAL RHYTHM,4.499803133612904e-05,36
Possible ectopic atrial rhythm with PVCs with PACs.,6.249726574462367e-06,5
Atrial fibrillation with paroxysmal idioventricular rhythm,9.249595330204303e-05,74
Sinus rhythm with PVCs with PACs,0.0002962370396295162,237
Sinus rhythm with PACs with borderline 1st degree A-V block,0.00020624097695725812,165
Possible A-V junctional bradycardia,7.749660952333335e-05,62
Sinus arrhythmia with PVC(s) with borderline 1st degree A-V block,8.374633609779572e-05,67
Sinus rhythm with PVC(s) with PAC(s) with borderline 1st degree A-V block,6.749704700419357e-05,54
Atrial fibrillation with uncontrolled ventricular response with non-sustained ventricular tachycardia,8.749617204247314e-06,7
Atrial flutter with 3:1 A-V block,0.00020624097695725812,165
Sinus bradycardia with sinus arrhythmia with borderline 1st degree A-V block.,0.00011874480491478498,95
Sinus rhythm with bigeminal PACs with 1st degree A-V block.,6.62471016893011e-05,53
Sinus rhythm with multifocal PVCs with 1st degree A-V block,5.124775791059141e-05,41
Sinus bradycardia with PVC(s) with borderline 1st degree A-V block,0.00010249551582118282,82
Sinus tachycardia with sinus arrhythmia with non-sustained ventricular tachycardia,7.499671889354841e-06,6
Sinus bradycardia with sinus arrhythmia with interpolated PVCs,9.999562519139788e-06,8
Probable atrial fibrillation with PVC(s).,0.0001262444768041398,101
Probable atrial fibrillation with slow ventricular response with complete A-V block,3.249857818720431e-05,26
Sinus rhythm with interpolated PVC(s) with 1st degree A-V block,2.3748960982956995e-05,19
Atrial fibrillation with uncontrolled ventricular response with frequent PVCs or aberrant ventricular conduction.,1.2499453148924734e-06,1
Sinus rhythm with PVC(s) with 1st degree A-V block.,0.00021499059416150542,172
Sinus tachycardia with sinus arrhythmia with paroxysmal idioventricular rhythm or aberrant ventricular conduction,1.2499453148924734e-06,1
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVC(s) with PAC(s),1.8749179723387102e-05,15
Predominant 2:1 AV block,4.1248195391451624e-05,33
Sinus tachycardia with frequent multifocal PVCs,8.999606267225809e-05,72
Probable atrial fibrillation with rapid ventricular response with frequent multifocal PVCs or aberrant ventricular conduction,2.249901566806452e-05,18
Sinus rhythm with interpolated PVCs with 1st degree A-V block.,1.6249289093602155e-05,13
Sinus arrhythmia with fusion complexes,2.499890629784947e-06,2
Sinus rhythm with fusion complexes,2.249901566806452e-05,18
Sinus rhythm with multifocal PVCs with borderline 1st degree A-V block.,1.4999343778709682e-05,12
Sinus bradycardia with PAC(s) with 1st degree A-V block.,0.00011874480491478498,95
Sinus rhythm with frequent multifocal PVCs with borderline 1st degree A-V block,3.874830476166668e-05,31
Atrial flutter with PVCs.,1.6249289093602155e-05,13
Sinus rhythm with multifocal PVCs with 1st degree A-V block.,2.3748960982956995e-05,19
Complete AV block with wide QRS complex,5.3747648540376356e-05,43
Sinus arrhythmia with PVC(s) with 1st degree A-V block,7.374677357865593e-05,59
Possible ectopic atrial rhythm with multifocal PVCs with PACs,1.2499453148924734e-06,1
Possible ectopic atrial tachycardia with PAC(s),7.374677357865593e-05,59
POSSIBLE ATRIAL FLUTTER,7.374677357865593e-05,59
Ectopic atrial bradycardia,0.00019624141443811834,157
Demand atrial pacing.,0.00040873211796983884,327
Atrial fibrillation with rapid ventricular response with frequent PVCs or aberrant ventricular conduction.,6.874699231908604e-05,55
Possible ectopic atrial rhythm with occasional PACs.,3.7498359446774206e-06,3
Atrial fibrillation with slow ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction,1.9999125038279575e-05,16
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block,2.249901566806452e-05,18
Sinus rhythm with 3:1 A-V block,7.499671889354841e-06,6
Atrial fibrillation with uncontrolled ventricular response with PVC(s) or aberrant ventricular conduction,3.624841413188173e-05,29
Possible atrial flutter with PVCs.,3.874830476166668e-05,31
Possible accelerated junctional rhythm.,0.0002162405394763979,173
Probable atrial fibrillation with slow ventricular response with PVCs or aberrant ventricular conduction.,7.499671889354841e-06,6
REGULAR RHYTHM,3.874830476166668e-05,31
Sinus rhythm with multifocal PVCs.,0.00014999343778709682,120
Sinus arrhythmia with PVCs with borderline 1st degree A-V block.,2.8748742242526888e-05,23
Atrial fibrillation with rapid ventricular response with frequent multifocal PVCs or aberrant ventricular conduction.,0.00011999475022967746,96
Possible atrial flutter with frequent multifocal PVCs or aberrant ventricular conduction.,7.499671889354841e-06,6
Probable sinus tachycardia with aberrantly conducted supraventricular complexes,2.499890629784947e-06,2
Irregular ectopic atrial tachycardia.,3.624841413188173e-05,29
Sinus bradycardia with sinus arrhythmia with PVC(s) with 1st degree A-V block,3.249857818720431e-05,26
Probable atrial fibrillation with rapid ventricular response with multifocal PVCs or aberrant ventricular conduction,3.124863287231184e-05,25
Sinus tachycardia with PVCs with borderline 1st degree A-V block,9.999562519139788e-06,8
Sinus rhythm with PACs with borderline 1st degree A-V block.,0.00011624491428500004,93
Probable atrial fibrillation with rapid ventricular response with PVC(s) or aberrant ventricular conduction,7.874655483822583e-05,63
"Extreme tachycardia with wide complex, no further rhythm analysis attempted",8.249639078290325e-05,66
Possible idioventricular rhythm,1.4999343778709682e-05,12
Probable atrial fibrillation with frequent PVCs or aberrant ventricular conduction.,4.9997812595698936e-05,40
Probable sinus (? atrial) tachycardia,7.124688294887099e-05,57
Sinus bradycardia with PACs.,0.00030873649277844093,247
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s) with 1st degree A-V block.,2.499890629784947e-06,2
Sinus rhythm with frequent PVCs with PAC(s).,1.8749179723387102e-05,15
Atrial fibrillation with slow ventricular response with frequent PVCs,8.749617204247314e-06,7
Atrial flutter with slow ventricular response,9.37458986169355e-05,75
Sinus arrhythmia with multifocal PVCs with borderline 1st degree A-V block,8.749617204247314e-06,7
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s) with 1st degree A-V block,4.999781259569894e-06,4
Sinus arrhythmia with PVC(s) with borderline 1st degree A-V block.,3.999825007655915e-05,32
Wide QRS tachycardia,8.124644546801077e-05,65
Probable atrial fibrillation with rapid ventricular response with frequent multifocal PVCs or aberrant ventricular conduction.,3.624841413188173e-05,29
Sinus rhythm with occasional PACs.,5.8747429799946256e-05,47
Sinus rhythm with PVCs with PACs with borderline 1st degree A-V block.,2.249901566806452e-05,18
Probable atrial fibrillation with slow ventricular response with complete A-V block.,2.249901566806452e-05,18
Dual chamber pacemaker.,7.249682826376346e-05,58
Sinus rhythm with bigeminal PACs with borderline 1st degree A-V block.,3.3748523502096784e-05,27
Sinus bradycardia with PACs with 1st degree A-V block.,3.874830476166668e-05,31
Wide complex tachycardia,2.8748742242526888e-05,23
Sinus arrhythmia with PVC(s) with 1st degree A-V block.,2.7498796927634415e-05,22
"Right and left arm electrode reversal, interpretation assumes no reversal",6.999693763397851e-05,56
Sinus arrhythmia with frequent PVCs.,4.874786728080646e-05,39
Atrial flutter with rapid ventricular response with 3:1 A-V block.,7.249682826376346e-05,58
Probable atrial fibrillation with PVCs.,7.499671889354841e-05,60
Atrial fibrillation with paroxysmal idioventricular rhythm or aberrant ventricular conduction.,0.0001124950783403226,90
Sinus bradycardia with PACs with borderline 1st degree A-V block.,3.249857818720431e-05,26
Probable atrial fibrillation with rapid ventricular response with PVCs or aberrant ventricular conduction.,5.3747648540376356e-05,43
Atrial fibrillation with rapid ventricular response with frequent PVCs,2.4998906297849468e-05,20
Sinus bradycardia with frequent PVCs with 1st degree A-V block.,7.499671889354841e-06,6
Possible ectopic atrial rhythm with PACs.,7.374677357865593e-05,59
IRREGULAR SINUS TACHYCARDIA,4.749792196591399e-05,38
ATRIAL FLUTTER WITH RAPID VENTRICULAR RESPONSE,2.249901566806452e-05,18
Possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes with PAC(s),1.2499453148924734e-06,1
Sinus rhythm with frequent multifocal PVCs with PAC(s) with borderline 1st degree A-V block.,1.2499453148924734e-06,1
Sinus tachycardia with PAC(s) with borderline 1st degree A-V block.,5.62475391701613e-05,45
Atrial fibrillation with rapid ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction,3.624841413188173e-05,29
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s),4.24981407063441e-05,34
Probable atrial fibrillation with rapid ventricular response with PVC(s) or aberrant ventricular conduction.,6.12473204297312e-05,49
Atrial flutter with PVC(s) or aberrant ventricular conduction,5.8747429799946256e-05,47
Irregular ectopic atrial bradycardia with 2nd degree (Mobitz II) SA block.,2.499890629784947e-06,2
Probable atrial fibrillation with slow ventricular response with PVC(s) or aberrant ventricular conduction,2.124907035317205e-05,17
Sinus rhythm with multifocal PVCs with PACs,1.2499453148924734e-05,10
Probable atrial fibrillation with complete A-V block,8.124644546801077e-05,65
Atrial fibrillation with rapid ventricular response with frequent PVCs or aberrant ventricular conduction,8.374633609779572e-05,67
Sinus bradycardia with PACs with 1st degree A-V block,7.124688294887099e-05,57
Sinus arrhythmia with PVCs with 1st degree A-V block.,1.749923440849463e-05,14
Atrial flutter with rapid ventricular response with PVC(s) or aberrant ventricular conduction.,4.1248195391451624e-05,33
Sinus rhythm with multifocal PVCs with borderline 1st degree A-V block,4.1248195391451624e-05,33
Possible ectopic atrial rhythm with multifocal PVCs,2.8748742242526888e-05,23
Sinus tachycardia with sinus arrhythmia with borderline 1st degree A-V block.,2.7498796927634415e-05,22
Atrial flutter with rapid ventricular response with PVCs.,1.2499453148924734e-05,10
Atrial flutter with uncontrolled ventricular response.,2.249901566806452e-05,18
Possible atrial flutter with frequent multifocal PVCs or aberrant ventricular conduction,1.3749398463817207e-05,11
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVC(s).,2.499890629784947e-06,2
Possible ectopic atrial bradycardia with PAC(s).,4.749792196591399e-05,38
Possible atrial flutter with rapid ventricular response with PVC(s) or aberrant ventricular conduction.,6.749704700419357e-05,54
AV sequential pacing,5.62475391701613e-05,45
Possible atrial flutter with uncontrolled ventricular response.,0.00010624535176586024,85
Sinus bradycardia with frequent multifocal PVCs with 1st degree A-V block,8.749617204247314e-06,7
-------------------- Pediatric ECG interpretation --------------------,6.249726574462368e-05,50
Possible ectopic atrial rhythm with PVC(s).,7.249682826376346e-05,58
Atrial flutter with rapid ventricular response with frequent PVCs or aberrant ventricular conduction,6.249726574462367e-06,5
Predominant 3:1 AV block,1.4999343778709682e-05,12
Sinus rhythm with frequent multifocal PVCs with PACs.,1.3749398463817207e-05,11
Sinus rhythm with aberrantly conducted supraventricular complexes with multifocal PVCs,1.4999343778709682e-05,12
Sinus rhythm with 2nd degree (Mobitz II) SA block with PVCs.,1.2499453148924734e-06,1
Sinus bradycardia with PVCs with borderline 1st degree A-V block,2.9998687557419364e-05,24
Atrial fibrillation with frequent PVCs,5.499759385526883e-05,44
Sinus arrhythmia with frequent multifocal PVCs,6.749704700419357e-05,54
Sinus tachycardia with sinus arrhythmia with PVC(s).,6.749704700419357e-05,54
Sinus rhythm with interpolated PVC(s) with PAC(s),9.999562519139788e-06,8
Atrial fibrillation with intermittent conduction defect.,5.3747648540376356e-05,43
Sinus rhythm with aberrantly conducted supraventricular complexes with 1st degree A-V block.,1.9999125038279575e-05,16
Sinus bradycardia with sinus arrhythmia with PVCs,2.8748742242526888e-05,23
Sinus rhythm with interpolated PVCs with 1st degree A-V block,6.249726574462367e-06,5
Sinus rhythm with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block.,2.249901566806452e-05,18
Atrial flutter with rapid ventricular response with PVCs or aberrant ventricular conduction.,1.8749179723387102e-05,15
Sinus rhythm with aberrantly conducted supraventricular complexes with PVC(s) with PAC(s),2.249901566806452e-05,18
Sinus tachycardia with PAC(s) with 1st degree A-V block,6.249726574462367e-06,5
Possible atrial flutter with interpolated PVCs.,3.7498359446774206e-06,3
Sinus rhythm with aberrantly conducted supraventricular complexes with interpolated PVCs,4.999781259569894e-06,4
Atrial flutter with bigeminal PVCs or aberrant ventricular conduction.,9.999562519139788e-06,8
Atrial fibrillation with uncontrolled ventricular response with PVCs.,2.3748960982956995e-05,19
Sinus rhythm with aberrantly conducted supraventricular complexes with PACs.,4.999781259569894e-06,4
Sinus bradycardia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block,1.3749398463817207e-05,11
Sinus bradycardia with sinus arrhythmia with PVCs.,2.4998906297849468e-05,20
Sinus bradycardia with interpolated PVC(s) with 1st degree A-V block,2.624885161274194e-05,21
Sinus rhythm with interpolated PVCs with borderline 1st degree A-V block,9.999562519139788e-06,8
Atrial fibrillation with multifocal PVCs or aberrant ventricular conduction.,0.0001362440393232796,109
Probable atrial fibrillation with rapid ventricular response with PVCs or aberrant ventricular conduction,4.374808602123657e-05,35
Atrial fibrillation with slow ventricular response with multifocal PVCs or aberrant ventricular conduction,2.3748960982956995e-05,19
Sinus rhythm with bigeminal PACs with borderline 1st degree A-V block,5.3747648540376356e-05,43
Sinus tachycardia with non-sustained ventricular tachycardia.,1.749923440849463e-05,14
Sinus tachycardia with sinus arrhythmia with non-sustained ventricular tachycardia.,8.749617204247314e-06,7
Irregular ectopic atrial bradycardia.,5.124775791059141e-05,41
Sinus tachycardia with PVC(s) with borderline 1st degree A-V block,3.249857818720431e-05,26
"Possible ectopic atrial rhythm with 2nd degree A-V block, Mobitz I (Wenckebach)",3.7498359446774206e-06,3
Possible ectopic atrial rhythm with multifocal PVCs with PACs.,2.499890629784947e-06,2
Sinus rhythm with frequent multifocal PVCs with borderline 1st degree A-V block.,1.3749398463817207e-05,11
Sinus rhythm with frequent multifocal PVCs with PAC(s) with borderline 1st degree A-V block,6.249726574462367e-06,5
Sinus rhythm with paroxysmal idioventricular rhythm with borderline 1st degree A-V block.,3.7498359446774206e-06,3
Sinus rhythm with occasional PACs with 1st degree A-V block.,9.999562519139788e-06,8
Sinus tachycardia with multifocal PVCs with PAC(s),2.3748960982956995e-05,19
Sinus rhythm with frequent multifocal PVCs with 1st degree A-V block,3.7498359446774204e-05,30
Possible ectopic atrial rhythm with frequent multifocal PVCs.,1.2499453148924734e-05,10
Failure to sense and/or capture (?magnet),3.249857818720431e-05,26
Atrial flutter with uncontrolled ventricular response with PVC(s) or aberrant ventricular conduction,1.2499453148924734e-06,1
Possible atrial arrhythmia,1.6249289093602155e-05,13
Probable atrial fibrillation with slow ventricular response with PVC(s),2.7498796927634415e-05,22
Atrial fibrillation with uncontrolled ventricular response with PVCs or aberrant ventricular conduction.,1.6249289093602155e-05,13
Possible ectopic atrial rhythm with frequent PVCs,6.62471016893011e-05,53
Possible ectopic atrial rhythm with frequent PVCs.,2.9998687557419364e-05,24
ATRIAL FIBRILLATION WITH SLOW VENTRICULAR RESPONSE,6.874699231908604e-05,55
Sinus tachycardia with PACs with borderline 1st degree A-V block.,3.3748523502096784e-05,27
Atrial fibrillation with rapid ventricular response with PVCs or aberrant ventricular conduction,0.00021124075821682802,169
Probable atrial fibrillation with multifocal PVCs or aberrant ventricular conduction.,3.249857818720431e-05,26
Atrial flutter with PVC(s) or aberrant ventricular conduction.,2.7498796927634415e-05,22
Sinus rhythm with non-sustained ventricular tachycardia.,1.3749398463817207e-05,11
Probable A-V junctional rhythm,6.874699231908604e-05,55
Atrial fibrillation with multifocal PVCs.,4.499803133612904e-05,36
Atrial flutter with slow ventricular response with PVC(s) or aberrant ventricular conduction,9.999562519139788e-06,8
Sinus rhythm with interpolated PVCs.,4.6247976651021516e-05,37
Possible ectopic atrial bradycardia with PVCs,1.9999125038279575e-05,16
Possible ectopic atrial bradycardia with frequent PVCs,6.249726574462367e-06,5
Possible ectopic atrial rhythm with frequent multifocal PVCs,2.249901566806452e-05,18
ECTOPIC ATRIAL BRADYCARDIA,7.499671889354841e-06,6
Irregular ectopic atrial bradycardia with PVC(s),7.499671889354841e-06,6
Sinus rhythm with aberrantly conducted supraventricular complexes with PVC(s),7.749660952333335e-05,62
Sinus rhythm with aberrantly conducted supraventricular complexes with PAC(s),2.3748960982956995e-05,19
Possible ectopic atrial tachycardia with frequent PVCs.,4.999781259569894e-06,4
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVCs,4.999781259569894e-06,4
Sinus rhythm with bigeminal PVCs with borderline 1st degree A-V block.,2.624885161274194e-05,21
Sinus tachycardia with PACs with borderline 1st degree A-V block,3.624841413188173e-05,29
Atrial flutter with slow ventricular response.,5.249770322548388e-05,42
Sinus bradycardia with sinus arrhythmia with PVC(s).,6.62471016893011e-05,53
Sinus bradycardia with sinus arrhythmia with multifocal interpolated PVCs.,2.499890629784947e-06,2
Possible ectopic atrial rhythm with multifocal interpolated PVCs,3.7498359446774206e-06,3
Sinus arrhythmia with frequent multifocal PVCs with borderline 1st degree A-V block,8.749617204247314e-06,7
Sinus arrhythmia with aberrantly conducted supraventricular complexes with multifocal PVCs.,2.499890629784947e-06,2
Sinus tachycardia with occasional PACs.,1.3749398463817207e-05,11
POSSIBLE IDIOVENTRICULAR RHYTHM WITH SLOW VENTRICULAR RESPONSE,6.249726574462367e-06,5
Possible atrial flutter with rapid ventricular response with PVCs.,3.624841413188173e-05,29
Probable atrial fibrillation with uncontrolled ventricular response with PVC(s).,7.499671889354841e-06,6
Sinus tachycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block,1.749923440849463e-05,14
ATRIAL FIBRILLATION WITH UNCONTROLLED VENTRICULAR RESPONSE,7.499671889354841e-06,6
POSSIBLE ACCELERATED JUNCTIONAL RHYTHM,1.9999125038279575e-05,16
REGULAR ATRIAL PACING,6.499715637440862e-05,52
Sinus arrhythmia with multifocal PVCs.,2.7498796927634415e-05,22
Possible ectopic atrial bradycardia with PVCs.,1.2499453148924734e-05,10
Sinus rhythm with frequent PVCs with PACs,9.999562519139788e-06,8
Sinus rhythm with PVCs with PACs with 1st degree A-V block.,1.3749398463817207e-05,11
Sinus rhythm with aberrantly conducted supraventricular complexes with PVCs,3.3748523502096784e-05,27
Sinus tachycardia with sinus arrhythmia with 1st degree A-V block,3.7498359446774206e-06,3
Atrial fibrillation with rapid ventricular response with intermittent conduction defect,1.4999343778709682e-05,12
Sinus rhythm with frequent PVCs with 1st degree A-V block.,3.624841413188173e-05,29
Irregular ectopic atrial rhythm with PVCs.,1.2499453148924734e-05,10
Atrial fibrillation with slow ventricular response with frequent PVCs.,9.999562519139788e-06,8
DEMAND ATRIAL PACING,1.9999125038279575e-05,16
Atrial fibrillation with uncontrolled ventricular response with multifocal PVCs or aberrant ventricular conduction.,4.999781259569894e-06,4
Sinus bradycardia with PVCs with PACs with 1st degree A-V block,3.7498359446774206e-06,3
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s) with borderline 1st degree A-V block,4.999781259569894e-06,4
Sinus rhythm with aberrantly conducted supraventricular complexes with PVC(s).,2.9998687557419364e-05,24
Probable sinus tachycardia with PVCs.,2.499890629784947e-06,2
Sinus rhythm with aberrantly conducted supraventricular complexes with PVC(s) with borderline 1st degree A-V block,9.999562519139788e-06,8
Atrial flutter with high degree A-V block,4.1248195391451624e-05,33
Probable atrial fibrillation with rapid ventricular response with frequent PVCs or aberrant ventricular conduction.,2.3748960982956995e-05,19
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block with borderline 1st degree A-V block.,2.499890629784947e-06,2
Sinus tachycardia with aberrantly conducted supraventricular complexes,6.749704700419357e-05,54
Atrial fibrillation with uncontrolled ventricular response with PVCs,9.999562519139788e-06,8
Atrial fibrillation with multifocal PVCs,7.374677357865593e-05,59
PROBABLE ATRIAL FIBRILLATION,2.9998687557419364e-05,24
Atrial fibrillation with slow ventricular response with PVCs or aberrant ventricular conduction.,4.749792196591399e-05,38
Irregular ectopic atrial tachycardia,3.999825007655915e-05,32
Atrial fibrillation with slow ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction.,1.124950783403226e-05,9
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVC(s),2.249901566806452e-05,18
Sinus tachycardia with interpolated PVCs.,3.7498359446774206e-06,3
Possible ectopic atrial tachycardia with PVC(s),2.249901566806452e-05,18
Sinus tachycardia with aberrantly conducted supraventricular complexes with frequent multifocal PVCs.,4.999781259569894e-06,4
IRREGULAR ECTOPIC ATRIAL TACHYCARDIA,1.2499453148924734e-06,1
Sinus tachycardia with sinus arrhythmia with frequent multifocal PVCs.,1.749923440849463e-05,14
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s).,1.4999343778709682e-05,12
Probable sinus tachycardia with PVC(s),6.249726574462367e-06,5
Probable atrial fibrillation with rapid ventricular response with frequent PVCs or aberrant ventricular conduction,3.499846881698926e-05,28
Sinus arrhythmia with frequent PVCs with 1st degree A-V block.,1.124950783403226e-05,9
Probable atrial fibrillation with frequent PVCs,2.124907035317205e-05,17
Irregular ectopic atrial tachycardia with PVCs,1.2499453148924734e-06,1
Possible ectopic atrial tachycardia with PVCs with PACs.,7.499671889354841e-06,6
Undetermined rhythm with fusion complexes with occasional PACs,1.2499453148924734e-06,1
Atrial flutter with rapid ventricular response with frequent multifocal PVCs or aberrant ventricular conduction,8.749617204247314e-06,7
Sinus rhythm with multifocal PVCs with PAC(s) with borderline 1st degree A-V block,8.749617204247314e-06,7
Sinus tachycardia with aberrantly conducted supraventricular complexes with multifocal PVCs with PACs,2.499890629784947e-06,2
Sinus bradycardia with multifocal PVCs with PAC(s),4.999781259569894e-06,4
Atrial fibrillation with non-sustained ventricular tachycardia.,8.749617204247314e-06,7
Possible ectopic atrial rhythm with frequent PVCs with PAC(s),1.2499453148924734e-06,1
Sinus bradycardia with sinus arrhythmia with interpolated PVC(s) with borderline 1st degree A-V block.,2.499890629784947e-06,2
Probable atrial fibrillation with frequent multifocal PVCs,7.499671889354841e-06,6
Irregular ectopic atrial tachycardia with PACs,3.7498359446774206e-06,3
Atrial fibrillation with non-sustained ventricular tachycardia,1.4999343778709682e-05,12
Sinus bradycardia with PVC(s) with borderline 1st degree A-V block.,1.749923440849463e-05,14
Sinus arrhythmia with varying 2nd degree A-V block with PVC(s),1.2499453148924734e-06,1
Sinus rhythm with PACs with 1st degree A-V block.,0.00014999343778709682,120
Possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes with interpolated PVCs,1.2499453148924734e-06,1
Sinus tachycardia with sinus arrhythmia with PAC(s).,1.749923440849463e-05,14
Sinus rhythm with frequent multifocal PVCs with PACs,8.749617204247314e-06,7
Sinus rhythm with PVCs with occasional PACs,1.9999125038279575e-05,16
Sinus arrhythmia with interpolated PVC(s).,1.8749179723387102e-05,15
Atrial fibrillation with rapid ventricular response with multifocal PVCs,4.9997812595698936e-05,40
Sinus bradycardia with sinus arrhythmia with PACs with 1st degree A-V block,4.999781259569894e-06,4
Sinus bradycardia with sinus arrhythmia with PAC(s) with 1st degree A-V block,3.3748523502096784e-05,27
Sinus tachycardia with sinus arrhythmia with multifocal PVCs,1.749923440849463e-05,14
Sinus rhythm with multifocal PVCs with PACs with borderline 1st degree A-V block.,4.999781259569894e-06,4
Irregular ectopic atrial tachycardia with PAC(s).,1.2499453148924734e-06,1
Atrial flutter with high degree A-V block.,1.8749179723387102e-05,15
Sinus tachycardia with PVCs with PACs with borderline 1st degree A-V block.,8.749617204247314e-06,7
Sinus tachycardia with frequent PVCs with PACs,7.499671889354841e-06,6
Atrial fibrillation with rapid ventricular response with intermittent conduction defect.,1.3749398463817207e-05,11
Probable atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia,9.999562519139788e-06,8
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVC(s),3.7498359446774206e-06,3
Sinus bradycardia with PVC(s) with 1st degree A-V block.,4.499803133612904e-05,36
Sinus bradycardia with aberrantly conducted supraventricular complexes with 1st degree A-V block,9.999562519139788e-06,8
Atrial fibrillation with frequent multifocal PVCs.,2.249901566806452e-05,18
Possible ectopic atrial tachycardia with PVCs with PACs,6.249726574462367e-06,5
Possible ectopic atrial tachycardia with PVC(s) with PAC(s),9.999562519139788e-06,8
Probable atrial fibrillation with uncontrolled ventricular response with PVCs or aberrant ventricular conduction,2.499890629784947e-06,2
Atrial fibrillation with slow ventricular response with frequent PVCs or aberrant ventricular conduction.,1.3749398463817207e-05,11
Possible atrial flutter with frequent PVCs,3.7498359446774206e-06,3
Possible atrial flutter with PVC(s).,3.874830476166668e-05,31
Atrial fibrillation with paroxysmal idioventricular rhythm.,4.749792196591399e-05,38
Sinus tachycardia with sinus arrhythmia with borderline 1st degree A-V block,6.249726574462368e-05,50
--- Technically unsatisfactory tracing ---,1.4999343778709682e-05,12
Atrial flutter with slow ventricular response with high degree A-V block.,1.6249289093602155e-05,13
Probable accelerated junctional rhythm with PVCs,3.7498359446774206e-06,3
Possible ectopic atrial bradycardia with fusion complexes,1.2499453148924734e-06,1
Probable atrial fibrillation with multifocal PVCs,1.8749179723387102e-05,15
Possible atrial flutter with rapid ventricular response with multifocal PVCs or aberrant ventricular conduction,9.999562519139788e-06,8
POSSIBLE IDIOVENTRICULAR RHYTHM,1.2499453148924734e-06,1
Sinus bradycardia with frequent PVCs with 1st degree A-V block,1.2499453148924734e-05,10
Probable atrial fibrillation with rapid ventricular response with PVCs,2.9998687557419364e-05,24
Sinus tachycardia with sinus arrhythmia with intermittent conduction defect,1.2499453148924734e-06,1
Possible ectopic atrial bradycardia with PACs,2.624885161274194e-05,21
Possible ectopic atrial rhythm with interpolated PVC(s),1.4999343778709682e-05,12
Sinus rhythm with aberrantly conducted supraventricular complexes with frequent multifocal PVCs,1.3749398463817207e-05,11
Sinus bradycardia with PVCs with PACs.,2.124907035317205e-05,17
Sinus rhythm with aberrantly conducted supraventricular complexes with multifocal PVCs with PAC(s),3.7498359446774206e-06,3
Sinus rhythm with aberrantly conducted supraventricular complexes with PAC(s).,7.499671889354841e-06,6
Irregular ectopic atrial rhythm.,0.00010124557050629035,81
Probable atrial fibrillation with multifocal PVCs.,8.749617204247314e-06,7
Probable precordial electrode reversal,7.499671889354841e-06,6
Atrial fibrillation with rapid ventricular response with multifocal PVCs.,4.24981407063441e-05,34
Sinus arrhythmia with aberrantly conducted supraventricular complexes with PVC(s).,6.249726574462367e-06,5
Probable atrial fibrillation with slow ventricular response with multifocal PVCs or aberrant ventricular conduction,2.499890629784947e-06,2
